Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.096,691.284,0.827,1077,11.313
bar,0.090,692.539,0.977,1055,9.280
bar,0.108,693.697,0.874,1040,nan
bar,0.087,694.987,1.024,1105,nan
bar,0.091,696.229,0.967,1074,9.672
bar,0.093,697.531,1.005,1065,12.078
bar,0.093,698.632,0.841,1079,11.733
bar,0.080,699.679,0.817,1040,nan
bar,0.118,700.976,0.989,1040,8.850
bar,0.107,702.227,0.954,1078,11.734
bar,0.095,703.467,0.955,1036,11.320
bar,0.102,704.570,0.848,1037,11.319
bar,0.097,705.861,1.004,1035,5.550
bar,0.088,706.954,0.835,1048,12.147
bar,0.102,708.040,0.825,1033,11.321
bar,0.090,709.299,0.973,1040,nan
bar,0.113,710.621,1.008,1066,8.435
bar,0.085,711.598,0.748,1042,8.431
bar,0.113,712.851,0.944,1048,12.147
bar,0.099,714.162,1.014,1071,11.319
bar,0.092,715.371,0.931,1067,11.323
