Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.169,631.005,0.820,1066,5.130
bar,0.149,632.108,0.856,1031,11.757
bar,0.143,633.325,0.945,1066,5.130
bar,0.127,634.335,0.783,1071,11.319
bar,0.148,635.355,0.757,1040,nan
bar,0.128,636.440,0.823,1036,4.012
bar,0.125,637.405,0.730,1079,11.733
bar,0.159,638.250,0.602,1048,12.147
bar,0.136,639.186,0.703,1100,12.255
bar,0.132,640.164,0.745,1074,9.672
bar,0.140,641.096,0.723,1040,nan
bar,0.139,642.020,0.718,1040,nan
bar,0.125,642.778,0.580,1045,12.150
bar,0.129,643.701,0.685,1049,7.195
bar,0.130,644.625,0.688,1031,6.780
bar,0.135,645.592,0.728,1037,-1.062
bar,0.123,646.463,0.651,1040,nan
bar,0.126,647.358,0.666,1040,nan
bar,0.152,648.211,0.633,1035,5.550
bar,0.136,649.193,0.731,1070,3.063
bar,0.146,650.124,0.682,1086,4.498
bar,0.137,651.019,0.660,1037,2.241
bar,0.176,652.021,0.718,1066,4.779
bar,0.132,653.009,0.747,1031,-1.062
bar,0.146,654.317,1.019,1065,24.000
bar,0.143,655.340,0.775,1041,1.609
bar,0.140,656.467,0.881,1070,11.320
bar,0.185,657.576,0.809,1041,10.100
bar,0.157,658.728,0.883,1045,12.150
bar,0.155,659.861,0.849,1038,11.786
bar,0.179,660.944,0.783,1037,-1.064
bar,0.147,661.759,0.586,1035,5.550
bar,0.133,662.743,0.746,1039,-1.065
bar,0.134,663.628,0.657,1038,6.532
bar,0.127,664.541,0.681,1056,2.035
bar,0.127,665.546,0.765,1073,7.469
bar,0.124,666.413,0.651,1033,0.552
bar,0.137,667.412,0.751,1099,7.118
bar,0.125,668.344,0.700,1041,-0.905
bar,0.144,669.171,0.591,1040,nan
bar,0.130,670.163,0.752,1071,11.319
bar,0.131,671.116,0.712,1066,6.649
