Brain name,Time to update policy,Time since start of training,Time for last experience collection,Number of experiences used for training,Mean return
bar,0.175,660.175,1.023,1032,11.320
bar,0.207,661.541,1.011,1040,nan
bar,0.173,663.008,1.093,1035,5.550
bar,0.211,664.229,0.842,1040,nan
bar,0.171,665.620,1.007,1040,nan
bar,0.191,667.025,1.027,1078,11.734
bar,0.191,668.492,1.086,1032,9.396
bar,0.172,669.857,0.989,1040,nan
bar,0.179,671.060,0.857,1030,7.998
bar,0.182,672.463,1.023,1040,nan
bar,0.177,673.949,1.082,1105,9.025
bar,0.223,675.460,1.060,1036,11.320
bar,0.203,677.018,1.118,1136,11.319
bar,0.183,678.374,0.962,1073,9.301
bar,0.192,679.701,0.943,1040,8.970
bar,0.180,681.057,0.975,1067,11.323
bar,0.163,682.481,1.046,1070,11.320
bar,0.191,683.730,0.867,1034,11.321
bar,0.179,685.168,1.040,1035,5.550
bar,0.170,686.602,1.035,1070,11.320
bar,0.182,688.056,1.048,1071,11.319
bar,0.174,689.314,0.908,1043,8.849
bar,0.178,690.823,1.098,1081,7.466
bar,0.191,692.161,0.957,1071,11.640
bar,0.205,693.665,1.073,1040,nan
bar,0.183,695.054,1.006,1070,11.320
bar,0.186,696.368,0.951,1066,8.435
bar,0.202,697.861,1.091,1071,11.319
bar,0.171,699.292,1.064,1071,11.319
bar,0.184,700.632,0.961,1048,12.147
bar,0.179,701.854,0.881,1040,8.850
bar,0.186,703.447,1.173,1078,11.734
bar,0.198,705.029,1.161,1071,11.319
bar,0.210,706.540,1.085,1064,9.350
bar,0.211,708.072,1.108,1071,11.319
bar,0.179,709.464,1.037,1067,11.323
bar,0.180,710.933,1.084,1109,11.595
bar,0.179,712.352,1.050,1066,8.435
bar,0.162,713.834,1.128,1071,11.319
bar,0.182,715.324,1.088,1040,nan
bar,0.194,716.713,0.987,1079,11.733
bar,0.191,718.015,0.932,1035,5.550
bar,0.184,719.423,1.021,1071,11.527
bar,0.175,720.764,0.998,1040,nan
bar,0.165,722.067,0.982,1070,11.320
bar,0.181,723.498,1.036,1043,8.849
bar,0.189,724.870,0.983,1071,11.319
bar,0.222,726.303,0.987,1048,12.147
bar,0.197,727.713,0.986,1028,11.321
bar,0.172,728.877,0.823,1040,nan
bar,0.207,730.368,1.064,1056,9.678
bar,0.165,731.657,0.921,1040,nan
bar,0.195,733.112,1.061,1078,11.312
bar,0.173,734.373,0.895,1071,11.319
